id_camara,longitud,latitud
5305,-3.67767458,40.44877838
5306,-3.67746271,40.45154567
5307,-3.66755950,40.45224809
5308,-3.68579407,40.44546841
5309,-3.67434388,40.46717955
5310,-3.67476019,40.47724967
5311,-3.68074945,40.48326253
5312,-3.68075503,40.48327669
5313,-3.67576610,40.47230529
5314,-3.66735050,40.44349171
5315,-3.67655805,40.47286769
5316,-3.67887310,40.44142813
5319,-3.66886248,40.46637226
6301,-3.68529531,40.48198898
6302,-3.68736447,40.47398701
6303,-3.68894208,40.46606383
6304,-3.68963238,40.46577615
6305,-3.69023949,40.45906418
6306,-3.69048872,40.45202801
6307,-3.69123400,40.44647319
6308,-3.70406984,40.44699108
6309,-3.70834773,40.44711438
6310,-3.70166784,40.45742075
6311,-3.69862465,40.46055984
6312,-3.71141074,40.45747647
6313,-3.70313500,40.45295002
6314,-3.69502596,40.45234252
7301,-3.69208722,40.44150045
7302,-3.69041826,40.43798673
7303,-3.68826592,40.43321586
7304,-3.68873617,40.43493561
7305,-3.70016659,40.43854552
7306,-3.71764691,40.43920005
7307,-3.70399520,40.44219768
7308,-3.70441422,40.43360967
7309,-3.71289239,40.43905009
7310,-3.69862495,40.43469461
8301,-3.69402554,40.48590470
8302,-3.70451611,40.48194910
8303,-3.71302900,40.48024499
8304,-3.72759054,40.47283102
8305,-3.74817913,40.47451473
8306,-3.75042424,40.46896558
8307,-3.74152942,40.44883477
8308,-3.69873245,40.49000131
8309,-3.71674429,40.48577390
8310,-3.71748289,40.48251334
8311,-3.70419310,40.47940130
8312,-3.70220739,40.47384037
8313,-3.66487905,40.50477275
8314,-3.71180572,40.47110785
8315,-3.68916470,40.47486365
8316,-3.69111883,40.47891104
8317,-3.72067145,40.47643416
8318,-3.73604830,40.47307093
8319,-3.68616470,40.49103288
8320,-3.72397243,40.49182389
8321,-3.69766785,40.50257160
8322,-3.69956659,40.48385704
8323,-3.68533116,40.50733233
8324,-3.65897712,40.50385857
8325,-3.68571300,40.51635871
8326,-3.68637846,40.49918429
8327,-3.70991505,40.48513447
8328,-3.68409719,40.48513029
8329,-3.66690237,40.51098974
8330,-3.67591053,40.50222591
8331,-3.72013435,40.47107351
8332,-3.66880280,40.49811185
8333,-3.67798992,40.50818710
8334,-3.71630493,40.49063551
9301,-3.71080717,40.42321177
9302,-3.71645078,40.43068872
9303,-3.71914660,40.43489205
9304,-3.72113892,40.43680178
9305,-3.72118088,40.43680117
9306,-3.72199355,40.42875409
9307,-3.71992556,40.42027268
9309,-3.73405327,40.42648872
9310,-3.73890775,40.43464882
9311,-3.72814536,40.42294440
9312,-3.77944276,40.45252485
9313,-3.72651855,40.43999583
9314,-3.73476414,40.43412012
9315,-3.77930603,40.46290593
9316,-3.71520021,40.42894901
9317,-3.71841611,40.42731502
9318,-3.72554174,40.42496944
9319,-3.72804792,40.44814472
9320,-3.73230606,40.43837577
10302,-3.72412705,40.41417698
10304,-3.72467621,40.40535094
10305,-3.72852300,40.41361935
10306,-3.76164998,40.38570426
10307,-3.76556744,40.37305566
10308,-3.74990065,40.37650059
10309,-3.75388390,40.36207574
10310,-3.76702601,40.39900894
10311,-3.77647693,40.37485235
10312,-3.77141387,40.39380853
10313,-3.73862207,40.40994317
10314,-3.75639525,40.39799365
10315,-3.77740039,40.36426151
10316,-3.76322833,40.40020814
11041,-3.74685789,40.38407908
11301,-3.73384844,40.37379969
11302,-3.71760936,40.38508644
11303,-3.70611049,40.39314703
11304,-3.72208231,40.40293334
11305,-3.74094202,40.39290251
11306,-3.77420460,40.39673139
11307,-3.71590574,40.39781418
11309,-3.73178741,40.38840809
11310,-3.72059623,40.40412092
11311,-3.74469554,40.38793701
11312,-3.73956602,40.38456960
11313,-3.74371349,40.36374371
11314,-3.74106707,40.36779337
11315,-3.72355767,40.39354310
11316,-3.72376702,40.38542236
11317,-3.74232996,40.37320298
