id,longitud,latitud
3819,-3.65955973,40.44089127
3820,-3.65997076,40.43566895
3821,-3.67339563,40.48199463
3822,-3.67353225,40.48189545
3823,-3.67413831,40.47568893
3824,-3.70202637,40.47724533
3825,-3.70535183,40.47275925
3826,-3.65513349,40.41785812
3827,-3.66574097,40.42040634
3828,-3.66570783,40.42047882
3829,-3.70011187,40.47498703
3830,-3.69797516,40.38701248
3831,-3.66713357,40.47987747
3832,-3.60971475,40.44824219
3833,-3.62589049,40.40656281
3834,-3.69805884,40.46127701
3835,-3.83626151,40.47463989
3836,-3.74413395,40.45634079
3837,-3.65663576,40.44589615
3838,-3.66419101,40.40615463
3839,-3.69166136,40.38062668
3840,-3.68832326,40.43050003
3841,-3.68725610,40.43052292
3842,-3.69172692,40.42213058
3843,-3.69192886,40.42143250
3844,-3.68846965,40.43378067
3845,-3.69099140,40.42351151
3846,-3.69840312,40.42816544
3847,-3.69455647,40.42879105
3848,-3.69418645,40.42692566
3849,-3.69656110,40.42687988
3850,-3.69252539,40.42600250
3851,-3.68994761,40.42730331
3852,-3.69017291,40.42600632
3854,-3.69646358,40.42545319
3855,-3.69775319,40.42512512
3856,-3.66920209,40.41944504
3857,-3.66927433,40.41731644
3858,-3.66937613,40.41752243
3859,-3.67053437,40.41791534
3860,-3.66924930,40.41705322
3861,-3.67017555,40.41649246
3862,-3.66952085,40.41371155
3863,-3.66925979,40.41288757
3864,-3.66983271,40.41262054
3865,-3.66977882,40.41254807
3866,-3.67072654,40.41137314
3867,-3.67008400,40.40902328
3868,-3.66970062,40.40844727
3869,-3.67001534,40.40792084
3870,-3.66796684,40.40658188
3871,-3.66910195,40.40551758
3872,-3.67138672,40.40494156
3873,-3.67223144,40.40681839
3874,-3.67225003,40.40689468
3875,-3.66716123,40.41752625
3876,-3.66710877,40.41746521
3877,-3.66787481,40.41688156
3878,-3.66251063,40.42107773
3880,-3.66261601,40.41097641
3881,-3.66409516,40.41033173
3882,-3.66944528,40.41467285
3883,-3.66967368,40.41412735
3884,-3.66968369,40.41170883
3885,-3.66992879,40.41106033
3886,-3.66984010,40.40998459
3887,-3.66122913,40.42148972
3888,-3.67056179,40.40676880
3889,-3.66975093,40.40658188
3890,-3.66934252,40.41806412
3891,-3.68192601,40.40471649
3892,-3.68197656,40.40464020
3893,-3.68041253,40.40511322
3894,-3.68003845,40.40396500
3895,-3.67235613,40.39988327
3896,-3.67196441,40.39903259
3897,-3.68148565,40.40342712
3898,-3.68131590,40.40361023
3899,-3.67580318,40.40727997
3900,-3.67765689,40.40680695
3901,-3.67945910,40.40645599
3902,-3.67442465,40.40713882
3903,-3.67288160,40.40341187
3904,-3.67335558,40.40335464
3905,-3.67151165,40.40502167
3906,-3.67185831,40.40407181
3907,-3.67312646,40.40462494
3908,-3.67577147,40.40598297
3909,-3.68012881,40.45161819
3910,-3.67570448,40.45166397
3911,-3.67768240,40.45016861
3912,-3.66649628,40.45238113
3913,-3.67745113,40.45310593
3914,-3.67676067,40.45161819
3915,-3.67770076,40.45088577
3916,-3.67860103,40.45163345
3917,-3.67822456,40.45169830
3918,-3.66727710,40.45307922
3919,-3.66647243,40.45227432
3920,-3.66753268,40.45142746
3921,-3.66388988,40.45300674
3922,-3.66548944,40.45199966
3923,-3.67803431,40.44691467
3924,-3.68018913,40.44772720
3925,-3.68376160,40.44567490
3926,-3.68009424,40.45171356
3927,-3.67873645,40.44864655
3928,-3.68263173,40.44598389
3929,-3.67126942,40.45199966
3930,-3.68445158,40.44677734
3931,-3.68601918,40.44106293
3932,-3.68746495,40.42755508
3933,-3.68412399,40.43855286
3934,-3.68330741,40.45170593
3935,-3.68742585,40.43298340
3936,-3.69154692,40.41950989
3937,-3.68645191,40.43619156
3938,-3.68663692,40.43393707
3939,-3.68844008,40.42205811
3940,-3.68840408,40.42551804
3941,-3.68617702,40.43909073
3942,-3.68734646,40.43600845
3943,-3.68717527,40.43601990
3944,-3.68684864,40.43137741
3945,-3.68763590,40.42789078
3946,-3.68671393,40.42533112
3947,-3.68880200,40.41787338
3948,-3.68503428,40.43768311
3949,-3.68379688,40.44342804
3950,-3.67601275,40.43622208
3951,-3.68155599,40.44140244
3952,-3.67862082,40.44287491
3953,-3.67742467,40.44197083
3954,-3.67881274,40.44025421
3956,-3.68284678,40.44061279
3957,-3.68212962,40.44175720
3958,-3.67910099,40.43832397
3959,-3.68324947,40.43626404
3960,-3.68372393,40.43774796
3961,-3.68228650,40.43939590
3962,-3.68238044,40.43286133
3963,-3.68520904,40.43283463
3964,-3.68359876,40.43165588
3965,-3.68380237,40.42921448
3966,-3.68125081,40.44017029
3967,-3.68193364,40.43764114
3968,-3.67883849,40.43738174
3969,-3.67822886,40.43744278
3970,-3.67836714,40.43813324
3971,-3.68559337,40.43507004
3972,-3.68424869,40.43496323
3973,-3.67892194,40.44066238
3974,-3.67771125,40.43787384
3975,-3.67905855,40.43769455
3976,-3.68026853,40.44001770
3977,-3.67962527,40.43971634
3978,-3.67909741,40.44121552
3979,-3.68593001,40.43041611
3980,-3.68462324,40.43033218
3981,-3.68313074,40.43624115
3982,-3.68319058,40.43624115
3983,-3.67890596,40.43873596
3985,-3.67900848,40.43908310
3986,-3.67890787,40.43899155
3987,-3.67876172,40.43885803
3989,-3.67911124,40.43908310
3992,-3.67613149,40.43609619
