index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_woo_min,int_woo_max,int_woo_mean,int_woo_median,ocu_woo_min,ocu_woo_max,ocu_woo_mean,ocu_woo_median,car_woo_min,car_woo_max,car_woo_mean,car_woo_median,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
133,137,0,1,1,1,999999,999999,999999,999999,20,200,80,60,0,26,3,1,4,30,12.166666666666666,8.5,40,180,97.14285714285714,100,1,2,1.4285714285714286,1,6,27,11.2,8.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
134,138,1,3,2,2,2,2,2,2,38,760,337.8333333333333,304,0,63,7.194444444444445,3,4,66,18.52777777777778,16.5,80,644,350.8,342,2,34,4.785714285714286,3,5,36,17.06451612903226,17,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
135,139,0,9,4,5,4,8,6,6,0,1460,495.87301587301585,380,0,10,2.9365079365079363,3,2,34,21.92063492063492,24,120,1260,461.09090909090907,380,1,6,2.672727272727273,3,9,29,21.923076923076923,24,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
136,140,0,5,3,4,4,4,4,4,80,580,272.6969696969697,200,0,20,2.303030303030303,1,4,27,13.787878787878787,14,100,560,294.36,300,1,4,1.9130434782608696,2,6,22,13.655172413793103,14,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
137,141,4,9,6,5,5,5,5,5,0,480,125.09803921568627,80,0,11,1.0196078431372548,0,1,32,11.352941176470589,11,20,440,102.72727272727273,80,1,3,1.5625,1.5,4,21,10.613636363636363,10.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
138,142,4,7,5,5,5,5,5,5,0,720,157.98245614035088,77,0,40,4.578947368421052,2,0,43,8.929824561403509,6,35,440,137.6122448979592,77,1,12,4.068181818181818,2.5,4,17,8.22,6,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
139,143,9,15,12,11,11,11,11,11,48,1920,394.8235294117647,274,0,50,9.333333333333334,3,2,70,21.980392156862745,16,61,1140,324.1111111111111,274,1,38,8.195121951219512,3,4,57,20.57777777777778,16,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
140,144,0,1,1,1,999999,999999,999999,999999,0,340,119.33333333333333,100,0,25,2.05,0.5,0,18,9.066666666666666,9,20,280,120.81632653061224,100,1,11,2.259259259259259,1,1,15,8.865384615384615,9,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
141,145,0,6,2,1,2,3,3,3,0,1860,349.45454545454544,180,0,100,7.672727272727273,2,0,100,18.745454545454546,10,60,1500,347.3170731707317,240,1,52,4.526315789473684,2.5,3,61,18.069767441860463,12,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
142,146,2,2,2,2,999999,999999,999999,999999,0,300,138.88888888888889,140,0,20,2.4166666666666665,2,0,38,15.583333333333334,14,60,260,136.66666666666666,140,1,6,1.9666666666666666,2,2,31,15.1875,14,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
143,147,1,5,3,4,4,4,4,4,0,2460,248.6315789473684,120,0,20,2.5473684210526315,2,0,85,16.48421052631579,13,20,720,195.32467532467533,120,1,7,2.6507936507936507,2,1,42,16.52,14,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
144,148,2,6,4,5,5,5,5,5,0,2340,960,900,0,5,2.5,3,0,46,27.333333333333332,31.5,120,1680,918,900,1,4,2.7777777777777777,3,7,44,28.2,31.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
145,150,0,1,1,1,999999,999999,999999,999999,0,420,89.34285714285714,42,0,14,1.4285714285714286,0,0,15,3.6,2,5,280,77.96153846153847,42,1,5,1.3846153846153846,1,1,11,4.260869565217392,3,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
146,151,0,0,0,0,999999,999999,999999,999999,0,169,39.58064516129032,42,0,34,2.225806451612903,0,0,36,4,2,42,85,50.666666666666664,45,1,2,1.2,1,2,7,3.5625,3,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
147,152,0,6,1,1,1,2,2,2,0,1020,295.7719298245614,200,0,57,3.192982456140351,1,0,27,13.736842105263158,14,40,720,292.0625,270,1,10,1.9473684210526316,1,5,23,13.705882352941176,14,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
148,153,0,10,4,3,1,4,3,3,0,3540,661.6666666666666,270,0,10,3.3703703703703702,3,0,64,20.12962962962963,18.5,60,2580,660.75,360,1,7,3.9393939393939394,3,2,51,22.725,20.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
149,154,0,4,2,1,1,2,1,1,0,900,413.3095238095238,370,0,33,2.9761904761904763,1,2,31,12.238095238095237,12,40,760,409.97222222222223,370,1,4,1.9565217391304348,2,7,19,11.971428571428572,12,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
150,155,0,0,0,0,999999,999999,999999,999999,40,200,120,120,0,1,0.06666666666666667,0,1,4,2.2,2,60,180,120,120,999999,999999,999999,999999,2,3,2.2,2,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
151,156,0,0,0,0,999999,999999,999999,999999,40,220,113.33333333333333,80,0,1,0.6666666666666666,1,2,14,8.444444444444445,10,60,200,108.57142857142857,80,999999,999999,999999,999999,3,12,8.571428571428571,10,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
152,157,4,7,5,5,5,5,5,5,0,1140,349.96363636363634,240,0,23,2.272727272727273,2,0,49,13.8,14,60,960,340.59574468085106,240,1,4,2.0930232558139537,2,3,27,13.829787234042554,15,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
153,158,2,7,4,3,3,6,4,4,60,1920,657.7777777777778,450,1,80,7.277777777777778,3,14,65,30.11111111111111,30,180,1600,591.6129032258065,440,2,16,4.678571428571429,3.5,16,46,29,30,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
154,159,0,2,1,1,1,1,1,1,120,4080,956.1904761904761,600,0,8,3.2222222222222223,3,6,184,35.57142857142857,32,180,2520,856.9811320754717,600,1,5,3.02,3,9,53,30.574074074074073,31.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
155,160,0,1,0,0,999999,999999,999999,999999,0,1920,461.609756097561,240,0,22,3.024390243902439,2,0,64,21.195121951219512,16,120,1320,452.8666666666667,300,1,5,2.2580645161290325,2,7,43,20.529411764705884,17.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
156,161,3,8,5,6,4,6,5,6,0,920,344.6666666666667,270,0,44,9.416666666666666,6,4,60,31.2,31.5,40,740,323.77358490566036,260,1,30,8.296296296296296,6,11,48,31.203703703703702,31.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
157,162,0,1,1,1,999999,999999,999999,999999,0,440,112.66666666666667,90,0,3,0.4,0,2,18,8.633333333333333,8.5,20,220,98.4,80,1,1,1,1,4,14,9.5,9.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
158,163,0,4,2,2,2,3,2,2,0,1020,352.78205128205127,300,0,7,2.0384615384615383,2,0,81,16.756410256410255,17,20,760,350.55882352941177,300,1,4,2.3220338983050848,2,2,26,16.205882352941178,17,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
159,164,1,4,3,3,3,3,3,3,0,1060,188.19662921348313,120,0,63,2.0730337078651684,1,0,67,7.735955056179775,7,20,600,184.92465753424656,120,1,4,1.793103448275862,2,1,18,7.214765100671141,7,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
160,165,0,1,0,0,999999,999999,999999,999999,0,0,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
161,166,9,15,12,11,11,11,11,11,0,450,123.05050505050505,90,0,39,3.6464646464646466,1,0,48,10.05050505050505,8,8,315,115.93181818181819,90,1,15,3.0833333333333335,1,1,27,9.306818181818182,8,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
162,167,1,2,2,2,999999,999999,999999,999999,20,740,255.55555555555554,220,0,17,2.814814814814815,1,2,36,16.574074074074073,16,80,620,257.27272727272725,220,1,11,2.861111111111111,2,9,27,16.5625,16,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
163,168,0,3,1,0,999999,999999,999999,999999,0,420,119.3103448275862,80,0,43,2.206896551724138,0,0,14,4.655172413793103,4,20,340,146.66666666666666,130,1,5,1.5555555555555556,1,1,12,4.909090909090909,4,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
164,169,5,6,5,5,999999,999999,999999,999999,20,300,118.78787878787878,100,0,6,0.696969696969697,0,4,16,9.424242424242424,9,40,240,113.79310344827586,100,1,2,1.1666666666666667,1,5,13,9.37037037037037,9,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
165,170,2,5,3,3,3,3,3,3,0,1113,207.94623655913978,131,0,60,3.827956989247312,1,0,61,8.731182795698924,7,8,720,197.1891891891892,135,1,10,2.484375,2,1,22,7.8933333333333335,8,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
166,171,0,2,1,1,1,1,1,1,11,1200,267.05128205128204,144,0,18,2.5384615384615383,1,1,35,11.128205128205128,7,14,900,233.5142857142857,144,1,13,3.3157894736842106,1,2,29,10.485714285714286,7,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
167,172,3,7,5,4,4,4,4,4,0,600,190.55555555555554,150,0,88,3.6805555555555554,0,0,44,7.291666666666667,5,20,460,187.74193548387098,160,1,5,1.3928571428571428,1,2,22,6.607142857142857,6,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,0,0,0,360,9.2,9.2,9.8,0,0
168,173,1,2,2,2,999999,999999,999999,999999,0,3120,440.7317073170732,180,0,10,2.1463414634146343,2,0,53,13.487804878048781,9,40,1740,315.29411764705884,180,1,5,2.3728813559322033,2,1,40,12.308823529411764,9,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
169,174,1,1,1,1,999999,999999,999999,999999,40,220,140,140,0,3,0.9166666666666666,1,4,12,8.666666666666666,8,80,180,122.5,130,1,1,1,1,6,11,8,7.5,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
170,175,1,3,2,2,2,2,2,2,0,620,219.98888888888888,240,0,69,6.444444444444445,1,0,49,20.122222222222224,18,20,480,215.18987341772151,240,1,35,5.491525423728813,2,8,36,19.641025641025642,18,6,27,0,"2019-10-27 00:15:00",0,0,0,0,0,0,5.6,2.7,49,51,14.1,13.7,14.2,0,0
