index,cluster,num_cars_min,num_cars_max,num_cars_mean,num_cars_median,num_cars_min_woo,num_cars_max_woo,num_cars_mean_woo,num_cars_median_woo,int_min,int_max,int_mean,int_median,ocu_min,ocu_max,ocu_mean,ocu_median,car_min,car_max,car_mean,car_median,int_min_woo,int_max_woo,int_mean_woo,int_median_woo,ocu_min_woo,ocu_max_woo,ocu_mean_woo,ocu_median_woo,car_min_woo,car_max_woo,car_mean_woo,car_median_woo,ocu_mean_25,ocu_mean_50,ocu_mean_75,dia_semana,dia_mes,festivo,fecha,eve_3h,eve_3h_g,eve_2h,eve_2h_g,eve_1h,eve_1h_g,vmax,vv,dv,dmax,ta,tamin,tamax,prec,gran_evento
42,42,0,3,1.25,1,1,1,1,1,0,220,61.854304635761586,40,0,21,0.4370860927152318,0,0,11,1.596026490066225,1,0,160,54.82517482517483,40,0,1,0.034722222222222224,0,0,6,1.3172413793103448,1,0.4370860927152318,0.4370860927152318,0.4370860927152318,1,22,0,"2019-10-22 05:30:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.8,0,0
42,42,0,5,1.75,1,1,1,1,1,0,280,78.4,60,0,26,0.65,0,0,11,1.95,1,0,200,71.45833333333333,60,0,2,0.08333333333333333,0,0,7,1.568421052631579,1,0.65,0.65,0.65,1,22,0,"2019-10-22 05:45:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.8,0,0
42,42,0,5,2,1.5,1,2,1.5,1.5,0,340,117.06422018348624,80,0,48,2.1192660550458715,0,0,19,3.1009174311926606,3,20,260,110.57692307692308,80,0,9,0.4077669902912621,0,1,7,2.7551020408163267,3,2.1192660550458715,2.1192660550458715,2.1192660550458715,1,22,0,"2019-10-22 06:00:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.5,0,0
42,42,0,3,1.5,1.5,1,2,1.5,1.5,0,620,179.65573770491804,140,0,35,1.3032786885245902,0,0,25,4.385245901639344,4,20,460,163.42342342342343,120,0,3,0.45217391304347826,0,1,8,3.9911504424778763,4,1.3032786885245902,1.3032786885245902,3.382978723404255,1,22,0,"2019-10-22 06:15:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.5,0,0
42,42,1,4,2.25,2,3,3,3,3,0,860,213.21804511278197,160,0,57,2.1278195488721803,1,0,22,5.969924812030075,6,20,560,189.66666666666666,160,0,6,0.84375,1,1,12,5.675,5.5,2.1278195488721803,3.9859154929577465,3.9859154929577465,1,22,0,"2019-10-22 06:30:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.5,0,0
42,42,1,6,3,2.5,2,3,2.5,2.5,0,1460,285.1726618705036,180,0,39,2.287769784172662,1,0,26,7.892086330935252,7,20,940,235.65116279069767,160,0,8,1.2196969696969697,1,1,19,7.359375,7,2.287769784172662,3.6551724137931036,5.714285714285714,1,22,0,"2019-10-22 06:45:00",0,0,0,0,0,0,0,0,0,360,8.5,8.3,8.5,0,0
42,42,3,9,6.25,6.5,6,7,6.5,6.5,0,2100,395.04794520547944,240,0,90,3.76027397260274,2,0,42,11.452054794520548,10,40,1300,344.82575757575756,240,0,17,2.079710144927536,1,2,29,10.58955223880597,10,4.732758620689655,6.773333333333333,10.325581395348838,1,22,0,"2019-10-22 07:00:00",0,0,0,0,0,0,0,0,0,360,8.8,8.4,8.8,0,0
42,42,7,12,8.75,8,9,9,9,9,0,3220,565.496644295302,300,0,100,6.120805369127517,2,1,100,15.751677852348994,12,40,2420,460.2910447761194,300,0,28,3.851063829787234,2,3,44,14.355555555555556,12,7.475409836065574,9.144329896907216,16.886363636363637,1,22,0,"2019-10-22 07:15:00",0,0,0,0,0,0,0,0,0,360,8.8,8.4,8.8,0,0
42,42,6,8,7.25,7.5,7,7,7,7,0,2720,672.3933333333333,440,0,95,9.006666666666666,4,0,57,20.453333333333333,18,40,2360,584.8102189781022,420,0,35,6.295774647887324,4,4,49,19.804347826086957,18,11.158333333333333,14.604651162790697,26.394736842105264,1,22,0,"2019-10-22 07:30:00",0,0,0,0,0,0,0,0,0,360,8.8,8.4,8.8,0,0
42,42,0,8,4.75,5.5,4,7,5.5,5.5,20,3480,840.1118421052631,540,0,77,13.092105263157896,6,0,83,26.25,24,80,2840,737.3884892086331,520,1,59,10.583941605839415,6,5,52,25.405797101449274,23.5,16.767241379310345,21.529411764705884,36.95,1,22,0,"2019-10-22 07:45:00",0,0,0,0,0,0,0,0,0,360,8.8,8.4,8.8,0,0
42,42,0,14,4.75,2.5,1,4,2.5,2.5,20,3200,896.7402597402597,610,0,77,13.012987012987013,8,1,78,30.72077922077922,31,100,2200,828.3309352517986,600,1,47,11.2,8,7,56,30.014084507042252,30,16.43220338983051,20.694117647058825,32.65,1,22,0,"2019-10-22 08:00:00",0,0,0,0,0,0,0,0,0,360,9.2,8.8,9.2,0,0
42,42,14,20,15.75,14.5,15,15,15,15,20,3660,961.6797385620915,680,0,88,13.627450980392156,8,3,77,32.71895424836601,33,100,3060,873.7007299270073,680,1,46,11.525179856115107,8,8,58,32.61594202898551,33.5,16.816666666666666,21.069767441860463,32.80487804878049,1,22,0,"2019-10-22 08:15:00",0,0,0,0,0,0,0,0,0,360,9.2,8.8,9.2,0,0
42,42,20,30,23.5,22,21,23,22,22,20,3640,968.4705882352941,760,0,88,15.65359477124183,10,2,87,34.73202614379085,34,120,2320,892.1449275362319,740,2,50,13.143884892086332,10,10,62,34.18248175182482,34,18.64516129032258,24.463414634146343,36.41463414634146,1,22,0,"2019-10-22 08:30:00",0,0,0,0,0,0,0,0,0,360,9.2,8.8,9.2,0,0
